,Id,protoform,DoT,DoS,DoF,symptom,label
0,0.0,"Among records that contribute against predicting 0 class, most of them have energy-related features at low level.",0.0,0.5421904761904762,0.7131985999686826,0,energy
1,1.0,"Among records that contribute against predicting 0 class, most of them have energy-related features at medium level.",0.0,0.41523809523809524,0.7131985999686826,0,energy
2,2.0,"Among records that contribute against predicting 0 class, most of them have energy-related features at high level.",0.0,0.5240952380952381,0.7131985999686826,0,energy
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have energy-related features at low level.",0.0,0.18476190476190477,0.059406393507151344,0,energy
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have energy-related features at medium level.",0.0,0.11171428571428571,0.059406393507151344,0,energy
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have energy-related features at high level.",0.0,0.1698095238095238,0.059406393507151344,0,energy
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have energy-related features at low level.",0.0,0.14885714285714285,0.22406167319083167,0,energy
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have energy-related features at medium level.",0.0,0.08047619047619048,0.22406167319083167,0,energy
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have energy-related features at high level.",0.0,0.1579047619047619,0.22406167319083167,0,energy
0,0.0,"Among records that contribute against predicting 0 class, most of them have pitch-related features at low level.",0.0,0.1986111111111111,0.4816124012856559,0,pitch
1,1.0,"Among records that contribute against predicting 0 class, most of them have pitch-related features at medium level.",0.0,0.31472222222222224,0.4816124012856559,0,pitch
2,2.0,"Among records that contribute against predicting 0 class, most of them have pitch-related features at high level.",0.0,0.3377777777777778,0.4816124012856559,0,pitch
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pitch-related features at low level.",0.0,0.04861111111111111,0.031408095782919684,0,pitch
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pitch-related features at medium level.",0.0,0.05583333333333333,0.031408095782919684,0,pitch
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pitch-related features at high level.",0.0,0.025833333333333333,0.031408095782919684,0,pitch
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pitch-related features at low level.",0.512765634483734,0.35,0.48364616959809137,0,pitch
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pitch-related features at medium level.",0.0,0.23277777777777778,0.48364616959809137,0,pitch
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pitch-related features at high level.",0.0,0.19666666666666666,0.48364616959809137,0,pitch
0,0.0,"Among records that contribute against predicting 0 class, most of them have spectral-related features at low level.",0.0,0.37962962962962965,0.5591796821791458,0,spectral
1,1.0,"Among records that contribute against predicting 0 class, most of them have spectral-related features at medium level.",0.0,0.2537037037037037,0.5591796821791458,0,spectral
2,2.0,"Among records that contribute against predicting 0 class, most of them have spectral-related features at high level.",0.0,0.38925925925925925,0.5591796821791458,0,spectral
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have spectral-related features at low level.",0.0,0.16925925925925925,0.05039967423831524,0,spectral
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have spectral-related features at medium level.",0.0,0.05962962962962963,0.05039967423831524,0,spectral
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have spectral-related features at high level.",0.0,0.14148148148148149,0.05039967423831524,0,spectral
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have spectral-related features at low level.",0.0,0.23222222222222222,0.38708731024920534,0,spectral
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have spectral-related features at medium level.",0.0,0.19666666666666666,0.38708731024920534,0,spectral
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have spectral-related features at high level.",0.0,0.23703703703703705,0.38708731024920534,0,spectral
0,0.0,"Among records that contribute against predicting 0 class, most of them have quality-related features at low level.",0.0,0.5933333333333334,0.7705323855012317,0,quality
1,1.0,"Among records that contribute against predicting 0 class, most of them have quality-related features at medium level.",0.0,0.144,0.7705323855012317,0,quality
2,2.0,"Among records that contribute against predicting 0 class, most of them have quality-related features at high level.",0.0,0.6266666666666667,0.7705323855012317,0,quality
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have quality-related features at low level.",1.0,0.021333333333333333,0.013187698588472907,0,quality
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have quality-related features at medium level.",0.0,0.006,0.013187698588472907,0,quality
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have quality-related features at high level.",0.0,0.018,0.013187698588472907,0,quality
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have quality-related features at low level.",0.0,0.11733333333333333,0.21294658257696197,0,quality
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have quality-related features at medium level.",0.0,0.082,0.21294658257696197,0,quality
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have quality-related features at high level.",0.0,0.17266666666666666,0.21294658257696197,0,quality
0,0.0,"Among records that contribute against predicting 1 class, most of them have energy-related features at low level.",0.0,0.5491428571428572,0.7131985999686826,1,energy
1,1.0,"Among records that contribute against predicting 1 class, most of them have energy-related features at medium level.",0.0,0.3373333333333333,0.7131985999686826,1,energy
2,2.0,"Among records that contribute against predicting 1 class, most of them have energy-related features at high level.",0.0,0.5453333333333333,0.7131985999686826,1,energy
3,3.0,"Among records that contribute around zero to predicting 1 class, most of them have energy-related features at low level.",0.0,0.18638095238095237,0.059406393507151344,1,energy
4,4.0,"Among records that contribute around zero to predicting 1 class, most of them have energy-related features at medium level.",0.0,0.08704761904761905,0.059406393507151344,1,energy
5,5.0,"Among records that contribute around zero to predicting 1 class, most of them have energy-related features at high level.",0.0,0.1696190476190476,0.059406393507151344,1,energy
6,6.0,"Among records that contribute positively to predicting 1 class, most of them have energy-related features at low level.",0.014370940023490378,0.1661904761904762,0.22406167319083167,1,energy
7,7.0,"Among records that contribute positively to predicting 1 class, most of them have energy-related features at medium level.",0.0,0.06485714285714286,0.22406167319083167,1,energy
