Descr,Degree of Truth,Degree of Support,Degree of Focus
For almost_all patients in state 0 with energy_high we have energy_medium,0.0,0.6156351791530945,0.28532646277614093
For majority patients in state 0 with energy_high we have energy_medium,0.0,0.6156351791530945,0.28532646277614093
For half patients in state 0 with energy_high we have energy_medium,0.0,0.6156351791530945,0.28532646277614093
For minority patients in state 0 with energy_high we have energy_medium,0.8374187019178774,0.6156351791530945,0.28532646277614093
For almost_no patients in state 0 with energy_high we have energy_medium,0.008170737169088383,0.6156351791530945,0.28532646277614093
For almost_all patients in state 0 with energy_high we have energy_low,0.0,0.6156351791530945,0.47552020413848467
For majority patients in state 0 with energy_high we have energy_low,0.0,0.6156351791530945,0.47552020413848467
For half patients in state 0 with energy_high we have energy_low,0.0,0.6156351791530945,0.47552020413848467
For minority patients in state 0 with energy_high we have energy_low,0.9305544671576079,0.6156351791530945,0.47552020413848467
For almost_no patients in state 0 with energy_high we have energy_low,0.1944422676485493,0.6156351791530945,0.47552020413848467
For almost_all patients in state 0 with energy_high we have f0_slope_mean_high,0.0,0.6710097719869706,0.5155473995960389
For majority patients in state 0 with energy_high we have f0_slope_mean_high,0.03736746712815213,0.6710097719869706,0.5155473995960389
For half patients in state 0 with energy_high we have f0_slope_mean_high,1.0,0.6710097719869706,0.5155473995960389
For minority patients in state 0 with energy_high we have f0_slope_mean_high,0.0,0.6710097719869706,0.5155473995960389
For almost_no patients in state 0 with energy_high we have f0_slope_mean_high,0.0,0.6710097719869706,0.5155473995960389
For almost_all patients in state 0 with energy_high we have f0_slope_mean_medium,0.0,0.4576547231270358,0.25276300084753295
For majority patients in state 0 with energy_high we have f0_slope_mean_medium,0.0,0.4576547231270358,0.25276300084753295
For half patients in state 0 with energy_high we have f0_slope_mean_medium,0.021567170337515276,0.4576547231270358,0.25276300084753295
For minority patients in state 0 with energy_high we have f0_slope_mean_medium,0.655883081497909,0.4576547231270358,0.25276300084753295
For almost_no patients in state 0 with energy_high we have f0_slope_mean_medium,0.0,0.4576547231270358,0.25276300084753295
For almost_all patients in state 0 with energy_high we have f0_slope_mean_low,0.0,0.6612377850162866,0.4844526004039616
For majority patients in state 0 with energy_high we have f0_slope_mean_low,0.0,0.6612377850162866,0.4844526004039616
For half patients in state 0 with energy_high we have f0_slope_mean_low,1.0,0.6612377850162866,0.4844526004039616
For minority patients in state 0 with energy_high we have f0_slope_mean_low,0.0,0.6612377850162866,0.4844526004039616
For almost_no patients in state 0 with energy_high we have f0_slope_mean_low,0.0,0.6612377850162866,0.4844526004039616
For almost_all patients in state 0 with energy_high we have localjitter_high,0.0,0.6986970684039088,0.45916652410470216
For majority patients in state 0 with energy_high we have localjitter_high,0.0,0.6986970684039088,0.45916652410470216
For half patients in state 0 with energy_high we have localjitter_high,1.0,0.6986970684039088,0.45916652410470216
For minority patients in state 0 with energy_high we have localjitter_high,0.0,0.6986970684039088,0.45916652410470216
For almost_no patients in state 0 with energy_high we have localjitter_high,0.0,0.6986970684039088,0.45916652410470216
For almost_all patients in state 0 with energy_high we have localjittern_medium,0.0,0.498371335504886,0.2597759999226463
For majority patients in state 0 with energy_high we have localjittern_medium,0.0,0.498371335504886,0.2597759999226463
For half patients in state 0 with energy_high we have localjittern_medium,0.23110179285592447,0.498371335504886,0.2597759999226463
For minority patients in state 0 with energy_high we have localjittern_medium,0.5511157702387044,0.498371335504886,0.2597759999226463
For almost_no patients in state 0 with energy_high we have localjittern_medium,0.0,0.498371335504886,0.2597759999226463
